IQ,CGPA,10th_Marks,12th_Marks,Communication_Skills,Placed
132,6.91,65,63,8.28,1
116,8.88,76,66,8.41,0
158,5.14,60,79,4.46,0
109,9.65,88,75,5.13,1
100,3.07,70,73,3.73,1
127,2.82,64,68,9.39,0
95,7.27,62,63,2.07,0
112,9.54,63,63,9.4,1
136,8.47,96,81,7.15,1
135,2.61,77,43,5.78,1
101,4.23,67,42,1.29,1
102,9.44,60,73,5.28,1
151,4.02,93,96,4.67,0
149,8.25,82,88,2.45,1
132,8.6,57,62,6.91,0
157,5.96,75,92,9.74,0
94,5.09,74,95,6.06,0
126,5.6,84,91,7.43,1
120,3.82,94,62,1.62,0
98,9.12,48,84,4.76,0
140,5.6,92,44,2.05,0
118,9.06,77,70,6.52,0
129,2.85,97,92,9.45,1
130,9.91,69,80,6.96,1
100,5.55,99,96,1.69,0
112,2.38,83,96,4.19,0
90,2.3,73,99,5.96,1
135,7.97,71,93,4.63,1
110,7.27,42,45,8.5,1
125,8.42,42,76,8.33,0
143,2.84,67,96,6.51,1
146,2.28,83,49,4.36,0
90,6.07,54,79,3.3,0
152,5.1,80,46,1.95,1
143,5.7,62,78,4.19,0
144,9.93,79,77,4.72,1
129,9.77,50,60,7.08,0
104,9.54,87,59,6.92,1
110,8.27,71,42,1.63,0
136,4.84,97,90,4.56,0
142,5.3,98,61,2.64,1
98,6.4,96,86,2.41,1
141,8.64,93,43,8.45,1
146,2.55,75,67,1.38,1
115,5.39,99,51,4.77,0
130,2.66,72,77,2.51,1
124,6.12,63,90,8.91,1
152,9.19,78,75,6.01,0
114,8.26,73,86,3.08,1
127,3.82,95,80,5.52,1
91,9.81,67,44,7.58,0
96,7.34,76,52,9.62,1
123,2.08,46,62,2.98,1
106,4.04,43,97,8.98,1
132,4.09,76,89,9.41,1
148,2.55,95,69,9.25,1
140,9.68,40,76,6.72,1
143,5.83,40,64,6.67,0
113,9.17,86,87,4.63,1
114,4.58,59,66,7.77,0
141,3.0,58,90,5.78,0
159,5.79,68,53,7.1,0
122,2.91,49,96,4.86,0
138,5.89,99,87,7.58,1
118,9.36,57,98,8.42,1
152,6.17,67,86,2.32,1
111,6.93,74,93,8.5,0
115,3.25,82,75,5.86,1
117,2.35,86,78,8.6,1
138,2.89,70,55,4.88,1
138,6.79,66,95,4.41,0
109,2.76,50,61,9.24,0
152,5.01,88,60,3.26,1
150,6.4,88,93,8.6,0
138,5.11,77,60,5.36,0
90,3.31,44,47,5.63,1
102,4.19,47,88,3.78,0
140,9.43,73,55,6.16,0
145,7.41,87,98,3.93,1
151,5.97,91,94,1.35,0
121,2.1,95,70,3.45,0
119,9.94,51,81,1.06,0
118,7.37,77,49,9.81,0
138,4.54,40,71,9.69,0
134,9.03,70,98,4.56,0
119,4.07,43,73,7.56,0
105,6.35,88,48,4.11,0
129,7.09,84,56,7.04,1
108,3.77,89,50,8.25,1
107,9.83,44,71,9.52,1
90,7.99,69,49,4.6,1
136,6.46,95,61,8.05,0
155,3.44,63,96,3.39,1
127,2.43,98,56,9.91,1
140,4.56,42,43,1.23,0
152,8.03,50,87,6.43,0
93,4.15,84,91,6.94,0
90,6.32,43,86,7.19,0
97,7.82,65,64,2.08,0
118,2.86,66,98,9.45,1
144,7.48,85,60,2.63,0
92,2.73,93,76,6.6,1
121,9.72,82,77,3.0,1
99,5.91,66,88,3.76,0
123,3.21,81,40,5.92,1
144,4.74,90,64,4.75,1
121,5.31,89,90,2.44,0
139,8.07,45,75,2.54,1
96,7.95,98,56,4.76,1
97,6.9,54,80,7.82,1
154,2.85,92,63,9.08,0
146,3.21,69,41,1.76,0
156,2.75,81,79,4.54,0
148,6.62,76,54,1.9,1
143,9.02,97,71,1.15,0
156,5.47,76,78,6.96,1
140,3.29,81,98,6.42,0
97,6.46,99,45,2.47,1
123,8.49,76,40,3.1,0
124,7.93,74,86,1.21,0
121,9.05,62,62,8.51,1
135,4.22,45,97,9.77,0
105,3.55,43,78,2.22,1
157,9.04,57,96,3.08,0
126,7.26,99,56,8.82,0
143,4.49,48,73,9.34,1
103,7.94,88,98,4.78,1
144,8.52,68,80,1.46,1
137,6.92,52,68,1.35,0
96,7.5,98,48,6.17,1
